Rank,Score,Autonomous Coding Skills,Driver Skills,Highest Autonomous Coding Skills,Highest Driver Skills,Highest Autonomous Score Timestamp,Highest Driver Score Timestamp,Highest Autonomous Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
262,234,118,116,2024-02-17 15:37:50,2024-02-17 15:05:24,118,0,116,0,7225G,Southland Gearbots,Southland Middle School,Minnesota,United States
394,209,119,90,2024-02-10 18:41:12,2024-02-10 20:22:14,119,0,90,0,3211A,Black Pearl,Scouts BSA - Troop 211,Minnesota,United States
409,207,108,99,2024-01-06 16:35:25,2024-01-06 18:07:32,108,0,99,0,61170A,Tiger Alpha,SOUTH JUNIOR HIGH,Minnesota,United States
467,199,119,80,2024-01-06 17:45:07,2024-02-10 15:49:04,119,0,90,0,55371E,The Founding Fathers,PRINCETON MIDDLE SCHOOL,Minnesota,United States
473,198,107,91,2024-01-06 20:06:33,2024-02-03 19:12:53,107,0,96,0,55371D,The Usual Suspects,PRINCETON MIDDLE SCHOOL,Minnesota,United States
535,189,96,93,2024-01-06 16:53:57,2024-01-06 17:33:34,96,0,93,0,81101D,Igneous,Mankato West Robotics,Minnesota,United States
541,188,96,92,2024-02-03 20:12:00,2024-02-03 17:14:09,96,0,92,0,1532B,Fire Breathing Rubber Duckies,BEMIDJI MIDDLE,Minnesota,United States
559,187,109,78,2024-02-10 20:08:48,2024-02-10 21:07:46,109,0,78,0,99750Z,Sparta's Warriors,ROCORI MIDDLE,Minnesota,United States
580,183,95,88,2024-02-10 17:39:54,2024-02-10 19:15:54,95,0,88,0,7192G,Top Notch Toast,Windom Middle School,Minnesota,United States
587,182,97,85,2024-02-03 20:52:15,2024-01-19 21:29:36,105,0,85,0,5300D,FerdaBoyz,WIN-E-MAC SECONDARY,Minnesota,United States
591,182,105,77,2024-02-03 21:28:29,2024-02-03 21:16:54,105,0,77,10,10001C,Sponge Bot Spare Parts,PRAIRIE WINDS MIDDLE SCHOOL,Minnesota,United States
622,179,95,84,2024-02-03 19:07:50,2024-02-03 18:58:15,95,0,84,0,75548B,Night Hounds,Cathedral High School,Minnesota,United States
641,177,99,78,2024-02-17 15:31:17,2024-01-27 19:33:09,99,0,86,0,62185B,Tricerabots,Homebot Robotics,Minnesota,United States
656,176,104,72,2024-02-10 19:50:41,2024-02-10 20:37:51,104,0,72,0,99750R,Sparta's Renegades,ROCORI MIDDLE,Minnesota,United States
675,173,85,88,2024-01-06 18:24:45,2024-01-27 17:11:37,91,0,88,0,13056C,Megabytes,ROYALTON MIDDLE SCHOOL,Minnesota,United States
699,170,82,88,2024-02-03 19:44:19,2024-02-03 19:33:18,82,0,88,0,1532D,Skittles,BEMIDJI MIDDLE,Minnesota,United States
707,169,66,103,2023-11-11 21:33:30,2024-02-17 17:19:58,117,0,103,0,7225T,Southland Boltbots,Southland Middle School,Minnesota,United States
722,168,94,74,2024-02-10 16:53:45,2024-01-27 19:38:42,94,0,86,0,3211Y,Up Dog,Scouts BSA - Troop 211,Minnesota,United States
778,161,85,76,2024-02-03 16:16:07,2024-02-03 17:42:40,85,0,76,0,99750G,Sparta's Gears,Rocori Middle School,Minnesota,United States
